"elevation_m","drainage_density_km_per_km2","storm_drain_proximity_m","historical_rainfall_intensity_mm_hr","return_period_years","land_use","soil_group","storm_drain_type"
62.3,7.2,116.3,24,25,"Institutional","A","Manhole"
125.01,9.7,80,48.1,25,"Mixed","","CurbInlet"
77.71,3.43,69.8,38.8,25,"Residential","B","GratedInlet"
12.38,6.62,38.2,29,2,"Roads","D","GratedInlet"
17.34,4.14,20.3,28.8,100,"Water","D","None"
19.19,9.99,22.4,25.9,5,"Industrial","","CurbInlet"
24.27,6.4,112.6,62.3,50,"Commercial","C","None"
54.96,5.23,69.6,39.3,50,"Commercial","B","CurbInlet"
33.84,8.17,101.4,77.6,50,"Roads","B","Manhole"
121.11,8.39,66.5,36.9,100,"Residential","","OpenChannel"
4.07,7.63,42.2,15,25,"Commercial","C","GratedInlet"
50.4,7.95,15,40.8,5,"Roads","B","CurbInlet"
66.57,8.8,86.6,80.4,5,"Roads","C","Manhole"
14.73,7.81,120.5,47.3,5,"Roads","A","Manhole"
6.38,2.73,133.7,53.7,2,"Green","","Manhole"
68.26,9.7,30.1,45,50,"Industrial","D","CurbInlet"
9.32,7.79,106.7,31.1,25,"Roads","","CurbInlet"
105.73,6.39,103.5,13,5,"Residential","A","Manhole"
6.76,7.46,11.5,85.8,25,"Roads","D","GratedInlet"
-3,8.63,128.8,62.6,5,"Mixed","B","GratedInlet"
29.63,6.61,27.8,31.5,100,"Commercial","B","CurbInlet"
9.2,3.61,124.6,23.4,25,"Residential","B","Manhole"
17.29,3.08,279.5,41.7,5,"Residential","C","None"
111.02,7.47,259.6,109.1,50,"Roads","B","OpenChannel"
64.16,10.58,52.8,23.5,5,"Commercial","D","CurbInlet"
37.1,10.58,198,82.7,100,"Industrial","","GratedInlet"
85.45,8.64,67.7,19.5,2,"Residential","C","GratedInlet"
17.18,2.93,154.8,51.4,10,"Green","C","GratedInlet"
103.83,3.81,4.2,19.6,50,"Commercial","B","Manhole"
46.88,4.51,120.1,25.9,10,"Roads","A","OpenChannel"
97.56,3.02,10.2,29.5,10,"Residential","C","GratedInlet"
29.5,7.5,12.8,33.4,2,"Commercial","D","GratedInlet"
2.95,9.32,104.2,52.8,25,"Commercial","A","Manhole"
46.98,2,74.8,31.9,2,"Green","A","OpenChannel"
91.93,4.15,118.5,21.4,5,"Residential","C","GratedInlet"
27.64,6.56,45.1,69.3,10,"Residential","D","Manhole"
9.11,5.44,75.8,24.5,25,"Water","","CurbInlet"
9.36,7.15,199.4,31.5,2,"Residential","D","OpenChannel"
11.38,8.27,65,49.7,5,"Industrial","D","CurbInlet"
20.72,6.87,50.9,26.2,10,"Roads","A","GratedInlet"
21.87,8.19,44.3,18.4,25,"Residential","B","Manhole"
65.35,10.74,6.2,24.4,25,"Industrial","C","GratedInlet"
54.72,7.38,0.6,11.4,5,"Residential","","GratedInlet"
64.2,5.17,180.2,12.6,50,"Residential","C","OpenChannel"
41.46,3.49,115.2,15.5,5,"Residential","D","GratedInlet"
39.34,3.69,32.1,61.7,10,"Residential","","Manhole"
18.2,7.24,302.1,25,10,"Residential","","None"
137.68,4.5,206.7,22,5,"Commercial","B","OpenChannel"
86.21,5.68,229.7,26.3,2,"Commercial","D","OpenChannel"
52,5.05,52.1,57.2,50,"Residential","A","Manhole"
89.01,4.69,251.2,33.3,100,"Residential","","OpenChannel"
7.75,8.81,13.6,59.5,5,"Industrial","A","OpenChannel"
33.28,9.34,192.4,39.7,10,"Industrial","","OpenChannel"
157.71,7.72,58.6,32.7,5,"Roads","B","CurbInlet"
19.38,6.81,217.2,25.5,5,"Residential","B","None"
-3,6.46,196.4,80,50,"Green","D","Manhole"
-3,3.25,257.9,14.1,10,"Residential","","OpenChannel"
20.23,7.96,80.1,64,100,"Commercial","A","CurbInlet"
10.49,8.41,85.6,34.8,2,"Residential","D","Manhole"
5.55,2.59,206.9,43.3,25,"Residential","D","OpenChannel"
101.45,8.64,107.2,50,25,"Commercial","A","CurbInlet"
9.63,9.38,250.4,47.4,25,"Commercial","A","OpenChannel"
85.07,7.14,22,13.1,5,"Roads","A","OpenChannel"
7.31,9.29,62.7,88.1,5,"Roads","C","OpenChannel"
39.82,5.92,26.1,29.7,5,"Commercial","D","None"
-3,5.59,22.5,26.8,2,"Residential","D","Manhole"
23.46,4.57,19.6,99.9,10,"Residential","B","CurbInlet"
33.15,3.78,87.1,28.6,25,"Residential","B","Manhole"
0.43,5.92,15.7,19.6,2,"Residential","B","OpenChannel"
-1.52,5.29,80.9,60.4,25,"Industrial","","Manhole"
168.72,5.13,126.1,53.8,5,"Commercial","","Manhole"
11.56,7.98,92.1,129.1,100,"Roads","B","CurbInlet"
8.53,6.13,99.6,65.8,10,"Residential","A","Manhole"
7.92,5.14,78.6,72.2,100,"Residential","D","GratedInlet"
30.56,5.68,165.4,51.7,25,"Institutional","D","CurbInlet"
85.22,10.16,122.1,72.1,100,"Commercial","A","GratedInlet"
7.27,2.87,263.6,41.2,10,"Institutional","D","OpenChannel"
9.35,3.97,157.1,50.9,5,"Commercial","","CurbInlet"
13.63,6.04,75.8,46,50,"Roads","A","CurbInlet"
1.95,9.25,110.7,51.9,5,"Roads","C","CurbInlet"
50.72,8.27,121.5,39.7,10,"Commercial","B","CurbInlet"
64.42,6.37,185.3,41.2,25,"Green","C","None"
17.32,10,168.4,60.7,100,"Industrial","C","OpenChannel"
5.76,8.36,131.9,19.3,2,"Green","D","Manhole"
81.74,6.22,118.6,51.6,5,"Green","A","GratedInlet"
-1.47,5.36,49.6,29.3,10,"Industrial","C","CurbInlet"
62.46,3.63,129.8,21.8,5,"Roads","C","OpenChannel"
42.61,6.24,56.6,24.1,2,"Roads","B","CurbInlet"
26.82,6.3,28.2,23.8,10,"Industrial","C","OpenChannel"
7.81,5.29,14.2,37.9,25,"Industrial","C","Manhole"
-3,5.25,61.2,57.8,25,"Mixed","","CurbInlet"
21.62,7.59,200.3,54,2,"Water","C","Manhole"
-3,6.45,43.5,45.1,10,"Roads","B","Manhole"
9.94,9.75,12.9,16.9,2,"Industrial","","GratedInlet"
84.02,6.83,23.3,15.2,50,"Residential","C","GratedInlet"
-3,6.03,74.6,21.8,2,"Mixed","A","Manhole"
9.88,3.81,60.2,79.2,50,"Residential","C","Manhole"
10.03,9.36,17.1,15.7,10,"Roads","D","CurbInlet"
79,3.62,112.3,23.1,2,"Residential","B","OpenChannel"
27.64,7,159.1,56.9,5,"Industrial","C","GratedInlet"
42.19,4.66,1.4,13.7,10,"Residential","C","Manhole"
33.71,6.31,242.2,23.2,2,"Residential","D","OpenChannel"
-3,5.59,333.1,34.7,10,"Residential","","None"
25.02,6.71,112.1,43.6,100,"Green","B","CurbInlet"
91.62,3.97,39.9,46.7,5,"Residential","C","Manhole"
-2.84,8.02,132.5,64.1,10,"Roads","A","GratedInlet"
71.47,5.55,108.7,27.3,10,"Commercial","A","CurbInlet"
16.03,2.93,112.3,37.5,2,"Residential","B","GratedInlet"
57.42,4.85,291.8,101.3,100,"Green","A","Manhole"
55.66,3.11,67.7,23.2,5,"Green","A","GratedInlet"
-3,5.35,59.6,17.3,2,"Roads","D","GratedInlet"
17.58,6.28,71.8,30.8,10,"Commercial","B","Manhole"
38.52,2.92,76.2,24.5,2,"Mixed","B","CurbInlet"
7.46,4.62,137.6,41.9,50,"Green","C","CurbInlet"
87.83,7.63,86,6.7,25,"Roads","C","CurbInlet"
2.04,10.24,88.3,42.9,25,"Roads","C","GratedInlet"
24.72,7.31,1.1,20.3,10,"Commercial","D","GratedInlet"
47.08,8.83,120.3,16.2,5,"Commercial","C","CurbInlet"
2.8,5.74,64.1,34.1,10,"Commercial","C","CurbInlet"
-3,7.81,108.6,43.5,50,"Roads","C","GratedInlet"
63.54,5.23,80.1,33.6,2,"Residential","D","Manhole"
40.53,6.81,94.7,20.4,25,"Commercial","B","CurbInlet"
62.9,1.99,219.5,61.9,50,"Green","B","Manhole"
27.64,6.5,131.6,39.5,2,"Commercial","D","OpenChannel"
-3,6.21,202.2,41.3,2,"Residential","","OpenChannel"
15.34,5.12,161.9,29.9,2,"Residential","B","GratedInlet"
111.08,9.83,28.6,27.5,5,"Commercial","D","GratedInlet"
77.91,3.81,257.1,36.9,100,"Green","B","Manhole"
73.87,8.08,9,54.4,2,"Water","C","CurbInlet"
-0.11,4.18,22.6,18.3,5,"Green","C","Manhole"
14.03,2.91,73.3,33.1,2,"Residential","B","CurbInlet"
25.54,4.61,123.7,23.1,5,"Mixed","D","OpenChannel"
-3,6.16,240.9,52.6,25,"Residential","D","OpenChannel"
32.51,10.62,38.9,36.5,5,"Industrial","A","Manhole"
16.94,7.55,170.8,33.4,10,"Mixed","C","OpenChannel"
48.46,5.71,27.2,27.2,25,"Residential","D","Manhole"
16.05,5.68,463.2,118.5,50,"Green","A","OpenChannel"
94.59,7.83,112.3,57.9,10,"Residential","D","CurbInlet"
0.77,9.12,266.6,31.8,25,"Commercial","C","OpenChannel"
93.71,8.54,49.8,81.6,2,"Roads","A","Manhole"
11.73,10.6,62.5,47,5,"Industrial","C","CurbInlet"
-0.93,9.77,100,13.7,5,"Roads","B","CurbInlet"
94.65,4.67,44.7,41.9,5,"Roads","","CurbInlet"
81.46,5.33,26.4,42.3,10,"Residential","A","GratedInlet"
25.55,3.33,86.1,31.2,2,"Commercial","B","CurbInlet"
36.82,9.32,4.5,62,5,"Roads","B","CurbInlet"
29.75,9.13,20.4,57.3,50,"Commercial","C","CurbInlet"
42.25,7.77,188.4,23.7,2,"Industrial","C","GratedInlet"
24.86,6.2,193.6,33.1,5,"Roads","C","OpenChannel"
76.46,7.13,6.8,20.1,5,"Roads","B","Manhole"
30.77,7.81,17.1,20.5,2,"Industrial","C","GratedInlet"
22.38,7.11,19.7,122.4,50,"Residential","A","CurbInlet"
36.52,4.31,11.8,13.2,2,"Residential","","Manhole"
42.08,10.43,308.4,42.2,100,"Roads","B","OpenChannel"
9.66,5.21,86,29.6,25,"Industrial","B","GratedInlet"
71.87,6.66,223.1,25.1,10,"Green","A","GratedInlet"
14.56,6.07,56.4,54.3,10,"Commercial","A","CurbInlet"
217.92,7.75,80.7,18.7,5,"Residential","D","CurbInlet"
75.84,4.55,316.4,36.1,5,"Green","B","CurbInlet"
18.22,6.75,18.9,33.7,50,"Residential","","GratedInlet"
18.03,5.94,583.4,61.2,10,"Green","A","None"
85.99,3.37,375.4,135.8,50,"Institutional","C","GratedInlet"
54.52,6.13,1.2,12,2,"Commercial","A","CurbInlet"
2.38,7.92,330,30,5,"Roads","A","OpenChannel"
30.91,7.66,175,46.7,10,"Residential","C","GratedInlet"
28.53,10.78,94.7,15.1,5,"Roads","B","GratedInlet"
92.2,4.51,134.4,66.8,25,"Residential","B","CurbInlet"
40.18,6.78,90.8,53.8,50,"Commercial","B","GratedInlet"
24.57,6.37,21,41.8,2,"Commercial","C","Manhole"
31.02,9.11,11.5,56.2,10,"Roads","D","GratedInlet"
-3,7.98,86.8,21.3,25,"Residential","","OpenChannel"
16.4,3.84,107.1,107.5,10,"Residential","C","OpenChannel"
74.07,5.42,86,150,100,"Residential","","Manhole"
31.22,8,79.8,38.4,25,"Water","D","GratedInlet"
49.54,7.76,177.3,28.3,2,"Commercial","C","OpenChannel"
22.14,2.99,204.7,102.3,100,"Water","","Manhole"
-3,8.09,74.4,22.9,25,"Roads","C","GratedInlet"
69.98,7.79,30.6,14.6,5,"Residential","","None"
12.62,3.13,199.9,40.5,5,"Green","C","OpenChannel"
16.77,6.96,15.8,40.6,5,"Roads","B","CurbInlet"
51.95,6.16,177.5,30.2,25,"Industrial","C","CurbInlet"
-3,9.43,9.3,31,25,"Commercial","C","CurbInlet"
14.51,3.24,6.5,59.6,50,"Residential","C","Manhole"
-3,5.97,97.2,30.5,2,"Commercial","B","Manhole"
13.42,4.6,86.2,78.5,10,"Industrial","B","CurbInlet"
15.55,7.98,94.2,128.5,50,"Residential","A","CurbInlet"
84.54,7.8,155.6,42.1,2,"Residential","D","Manhole"
11.87,5.09,119.9,42.6,2,"Industrial","A","CurbInlet"
0.77,6.04,155.8,36.9,2,"Green","C","OpenChannel"
100.61,9.04,41.6,20.8,10,"Roads","D","CurbInlet"
10.99,4.45,156.4,38.1,25,"Green","D","GratedInlet"
37.51,7.76,45.7,31.9,50,"Commercial","C","OpenChannel"
107.59,7.97,107.7,44.7,2,"Residential","A","GratedInlet"
-3,2.96,5.7,38.6,5,"Residential","B","GratedInlet"
45.69,7.38,11.8,22.4,10,"Residential","D","Manhole"
42.48,7.04,65.4,34.8,50,"Residential","B","CurbInlet"
69.38,4.2,60.5,16.9,5,"Residential","A","Manhole"
13.68,2.48,48,53.9,10,"Residential","D","CurbInlet"
47.81,4.31,30.8,25.8,10,"Roads","D","CurbInlet"
93.2,4.04,669.5,19.7,50,"Residential","B","None"
95.63,3.23,178.5,15.8,10,"Commercial","","OpenChannel"
28.07,7.13,19.8,36.4,2,"Roads","C","Manhole"
90.61,9.67,99.8,17.1,100,"Roads","B","Manhole"
48.13,7.45,84,27,25,"Commercial","A","GratedInlet"
61.18,7.02,113.8,23,100,"Commercial","C","CurbInlet"
1.22,9.48,76.1,52,25,"Roads","A","GratedInlet"
22.17,3.26,137.3,10.5,2,"Roads","D","CurbInlet"
128.37,6.61,375.6,26.5,2,"Green","B","CurbInlet"
11.48,4.37,95.3,97.2,5,"Roads","A","Manhole"
63.78,4.5,74.9,29.1,5,"Green","A","OpenChannel"
6.65,9.08,88.9,9,5,"Roads","A","Manhole"
33.09,6.57,80.6,35.3,10,"Commercial","A","Manhole"
26.79,5.22,253.6,16.9,5,"Institutional","C","CurbInlet"
111.04,5.43,126.7,28,2,"Roads","B","CurbInlet"
60.75,5.88,52.8,15.8,5,"Roads","D","Manhole"
-2.74,2.74,153.4,128.2,50,"Residential","C","Manhole"
65.78,5.69,200,62.3,5,"Green","A","Manhole"
4.01,4.98,66.8,63.3,5,"Water","D","OpenChannel"
17.77,7.69,154.7,38.8,50,"Roads","B","OpenChannel"
-3,8.59,128,23.3,2,"Roads","B","OpenChannel"
67.3,2.73,100.2,28.3,5,"Residential","A","CurbInlet"
17.33,5.27,394.9,114.3,100,"Green","D","GratedInlet"
77.62,2.45,37.8,11.8,2,"Residential","B","Manhole"
-1.56,5.54,96.6,49.5,5,"Residential","D","GratedInlet"
18.55,5.22,43.2,24.3,2,"Commercial","D","CurbInlet"
73.77,4.02,23.6,24.4,25,"Green","D","CurbInlet"
11.37,7.71,246.5,24.1,50,"Green","D","OpenChannel"
31.44,7.97,44.2,18.3,50,"Residential","C","GratedInlet"
40.75,5.44,14.4,54.6,10,"Industrial","B","GratedInlet"
16.93,10.72,39.8,45.6,50,"Roads","D","CurbInlet"
22.39,4.59,148,100.4,10,"Commercial","B","Manhole"
25.14,5.41,20.7,57.9,10,"Commercial","A","GratedInlet"
0.69,6.32,190.7,77.8,25,"Institutional","C","GratedInlet"
1.61,8.26,363.5,42.8,10,"Residential","B","None"
22.02,8.88,3.2,23.3,2,"Mixed","C","CurbInlet"
3.69,7.21,223.2,123.6,50,"Informal","A","Manhole"
22.26,7.33,183.4,39.8,5,"Water","D","GratedInlet"
53.12,6.98,50.9,33.7,100,"Residential","B","OpenChannel"
73.72,4.76,71.4,26.7,25,"Green","D","GratedInlet"
43.25,6.97,145.2,37.8,10,"Commercial","B","Manhole"
66.2,7.49,58.1,17.5,5,"Commercial","D","CurbInlet"
75.09,9.63,95.2,65.3,10,"Commercial","B","CurbInlet"
55.98,5.95,153.9,21.3,100,"Roads","D","Manhole"
26.17,7.55,76.3,52.5,10,"Industrial","A","GratedInlet"
26.62,9.11,40.4,67.2,5,"Industrial","A","CurbInlet"
53.76,7.82,73.7,78,2,"Roads","C","GratedInlet"
4.03,9.02,75.5,46.3,25,"Industrial","A","CurbInlet"
95.2,5.88,17,32.3,5,"Roads","","GratedInlet"
18.37,4.51,113.5,86.2,10,"Residential","","OpenChannel"
7.89,8.83,76,28.9,5,"Commercial","A","CurbInlet"
36.71,4.07,41.4,50.5,10,"Residential","C","GratedInlet"
1.5,7.11,183.2,128.3,50,"Mixed","C","Manhole"
47.66,2.69,133.5,67.5,10,"Residential","C","Manhole"
27.27,5.98,87.8,38.3,10,"Residential","","Manhole"
11.32,4.92,355.1,46.3,10,"Green","C","Manhole"
29.31,6.04,114.7,19.1,2,"Residential","B","CurbInlet"
2.24,10.13,13.1,83.5,5,"Commercial","B","CurbInlet"
25.26,4.98,422.4,20.7,25,"Industrial","","OpenChannel"
156.42,9.3,52.3,25.7,5,"Roads","A","Manhole"
0.64,4.29,33.5,55.6,5,"Residential","C","CurbInlet"
12.06,6.09,80.4,51,50,"Residential","D","GratedInlet"
14.47,6.57,11.1,43.8,25,"Roads","D","Manhole"
1.64,6.6,71.3,72.1,10,"Residential","B","GratedInlet"
33.21,8.38,31.6,79.6,25,"Residential","","GratedInlet"
7.22,2.92,450.9,29.5,5,"Green","C","Manhole"
52.59,5.63,54,28.7,2,"Residential","","Manhole"
48.79,7.41,257.9,32.7,100,"Residential","C","OpenChannel"
4.33,6.28,71.3,32.3,10,"Industrial","D","CurbInlet"
2.41,7.21,140.7,62.7,2,"Green","B","CurbInlet"
20.83,8.65,63.5,17.2,2,"Industrial","D","GratedInlet"
14.05,6.76,53.4,42.3,10,"Residential","D","GratedInlet"
38.77,2.45,98.2,40.7,2,"Residential","C","OpenChannel"
139.1,7.57,9.7,50.4,10,"Roads","D","Manhole"
4.54,10.87,21.3,22.1,5,"Roads","D","Manhole"
-3,5.28,425.2,70.3,100,"Residential","A","None"
6.41,6.26,123.3,98.1,10,"Roads","","Manhole"
84.33,6.09,93.2,28.6,5,"Commercial","C","Manhole"
-0.13,9.11,9,39.1,2,"Industrial","C","GratedInlet"
20.2,10.25,114.4,51.2,2,"Industrial","D","OpenChannel"
26.34,5.72,112.1,39.1,5,"Residential","B","None"
32.27,5.73,142.9,36.7,50,"Water","A","CurbInlet"
22.92,6.07,30.1,32.6,2,"Residential","C","CurbInlet"
21.93,5.01,283.4,19.8,5,"Commercial","C","OpenChannel"
159.94,10.43,9.5,55.8,10,"Industrial","","CurbInlet"
18.34,4.94,66.7,22.4,10,"Residential","B","GratedInlet"
-3,5.59,103.7,24.9,2,"Commercial","","CurbInlet"
-3,6.48,188.5,34.2,100,"Residential","A","None"
3.84,6.57,23.3,64.7,5,"Roads","B","Manhole"
-3,5.38,338.4,23.8,5,"Industrial","D","None"
-3,1.77,278.3,57.5,5,"Green","A","GratedInlet"
2.81,5.65,31.4,17.4,5,"Mixed","","Manhole"
15.98,6.08,152.2,53.1,10,"Commercial","","OpenChannel"
33.16,8.68,29.9,23.1,50,"Industrial","B","CurbInlet"
104.2,5.44,84.2,38,5,"Residential","D","CurbInlet"
46.5,5.78,118.8,31,2,"Residential","C","OpenChannel"
21.8,10.04,75.2,35.5,2,"Roads","A","None"
19.34,5.83,9.4,150,10,"Commercial","C","Manhole"
49.77,4.37,126.8,28.8,2,"Residential","D","OpenChannel"
52.45,5.49,11.1,31.9,10,"Roads","C","GratedInlet"
73.98,4.4,13.4,24.8,5,"Residential","C","Manhole"
4.26,4.4,189,90.3,10,"Residential","D","OpenChannel"
38.94,4.82,239.4,47.5,5,"Industrial","C","None"
10.13,11.2,95.8,100,10,"Commercial","D","CurbInlet"
1.95,6.05,91.3,31.8,5,"Water","B","Manhole"
46.63,5.07,114.7,22.8,2,"Industrial","D","OpenChannel"
82.42,9.76,136.8,19.9,50,"Industrial","C","CurbInlet"
35.72,6.56,31.4,27.6,5,"Residential","C","CurbInlet"
31.89,6.69,29,28.5,5,"Commercial","B","GratedInlet"
16.7,5.32,54.2,30.9,2,"Roads","C","CurbInlet"
82.01,2.73,159.9,96.8,100,"Residential","D","GratedInlet"
-0.06,4.64,38.9,37.5,100,"Residential","C","Manhole"
10.47,6.01,88.4,34.3,25,"Industrial","B","CurbInlet"
27.66,4.05,130.9,35.8,2,"Mixed","D","Manhole"
49.63,10.48,138.8,40.1,5,"Roads","D","GratedInlet"
56.85,2.87,297.9,33.7,5,"Water","B","GratedInlet"
22.53,10.12,118.8,23.3,5,"Roads","D","CurbInlet"
6.66,2.65,46.8,40,10,"Institutional","B","OpenChannel"
68.24,7.02,88.7,27.5,2,"Residential","","CurbInlet"
71.69,5.36,59.3,46.5,2,"Green","C","Manhole"
40.94,2.53,455.4,73.6,50,"Green","B","None"
17.61,7.49,83.3,47.8,5,"Roads","C","GratedInlet"
112.67,8.36,180.7,40.3,5,"Green","A","CurbInlet"
7.4,6.99,71.4,28,25,"Industrial","","GratedInlet"
11.01,3.65,46.9,15.1,2,"Informal","","GratedInlet"
14,6.56,110,66.6,100,"Residential","C","OpenChannel"
29.69,9.38,104.5,37.1,5,"Roads","D","Manhole"
18.31,6.53,50.1,83.5,25,"Industrial","","GratedInlet"
25.87,3.54,9.4,31,25,"Residential","C","Manhole"
10.3,3.08,43.5,54.5,50,"Residential","D","Manhole"
63.61,5.62,61,40.3,2,"Mixed","D","CurbInlet"
16.12,4.84,291.5,51.4,25,"Residential","A","OpenChannel"
-3,6.17,241.6,28.4,5,"Green","A","OpenChannel"
53.28,3.37,90,36.7,5,"Green","","Manhole"
-3,8.7,92.6,150,10,"Commercial","D","Manhole"
6.52,10.2,68.3,22.5,10,"Roads","C","CurbInlet"
10.82,3.08,3.6,65.6,2,"Green","B","Manhole"
158.42,3.01,205.7,53.4,10,"Green","C","Manhole"
120.7,6.79,32.1,27.5,25,"Commercial","B","CurbInlet"
11.09,5.21,80.4,46.8,5,"Industrial","B","GratedInlet"
35.55,3.05,271.2,30.6,50,"Green","B","OpenChannel"
34.45,8.33,105.7,37.5,10,"Residential","C","CurbInlet"
19.31,8.41,38.4,35.4,10,"Roads","B","CurbInlet"
7.88,5.82,668.1,64,10,"Roads","A","None"
-3,1.45,278.3,93.7,50,"Water","D","Manhole"
15.67,8.82,3.2,29.8,2,"Residential","B","Manhole"
1.49,8.93,47.7,70.3,50,"Roads","C","GratedInlet"
32.08,4.77,312.5,44.5,100,"Institutional","C","Manhole"
-3,7.05,86.1,28.6,5,"Roads","C","CurbInlet"
9.96,7.04,52.1,13.9,2,"Roads","","Manhole"
9.96,4.7,90.8,16.7,5,"Roads","","OpenChannel"
121.3,3.73,210.8,57.6,5,"Green","C","GratedInlet"
25.47,5.34,35,44.8,5,"Green","D","Manhole"
62.45,5.98,436.5,15.3,100,"Roads","B","OpenChannel"
59.56,6.57,127.7,77.3,50,"Roads","B","Manhole"
35.53,9.48,42.6,45.6,50,"Commercial","C","Manhole"
99.51,4.71,45.6,20,25,"Roads","C","CurbInlet"
26.32,4.8,138.1,38.1,10,"Residential","D","Manhole"
70.86,7.04,60.3,25.9,5,"Residential","C","Manhole"
82.21,4.95,50.9,23.5,2,"Residential","D","CurbInlet"
3.14,7.46,17.7,42.6,2,"Roads","B","CurbInlet"
47.58,4.62,34.2,32.1,5,"Roads","A","Manhole"
45.9,5.19,534.9,22.5,2,"Residential","","None"
39.12,6.44,74,33.6,10,"Residential","","CurbInlet"
62.7,7.56,102.7,44.5,5,"Residential","D","CurbInlet"
65.23,11.53,105,35.5,25,"Industrial","B","Manhole"
90.88,6.55,145.5,45.7,50,"Water","D","CurbInlet"
39.23,8,452.9,46.4,10,"Roads","D","None"
25.35,8.39,105.3,73.4,2,"Roads","A","CurbInlet"
53.67,5.35,67.8,27.4,5,"Roads","A","CurbInlet"
31.26,3.74,94.6,32,10,"Residential","C","OpenChannel"
18.04,6.62,105.6,92.4,10,"Mixed","B","GratedInlet"
28.07,6.48,46.1,30.8,25,"Mixed","A","CurbInlet"
43.28,6.35,196.5,42.7,2,"Institutional","B","Manhole"
12.81,7.21,116,45.6,5,"Roads","C","Manhole"
153.62,8.28,76.2,25,5,"Green","B","Manhole"
20.42,4.84,307.4,30.9,5,"Residential","B","OpenChannel"
12.9,8.16,188.9,72.2,100,"Institutional","A","GratedInlet"
7.28,6.47,180.4,72.1,100,"Commercial","A","OpenChannel"
38.36,6.63,84.6,17.4,10,"Residential","D","GratedInlet"
5.3,8.91,17.5,22,5,"Industrial","A","OpenChannel"
138.14,2.72,130.5,30.6,5,"Commercial","B","CurbInlet"
10.86,2.12,87.5,92.8,25,"Residential","A","OpenChannel"
0.32,8.46,169.9,45.1,5,"Green","C","Manhole"
67.25,3.77,96.6,69.6,25,"Residential","B","Manhole"
9.54,1.55,183,30.3,25,"Green","A","CurbInlet"
68.23,9.3,93.5,28.5,5,"Industrial","A","Manhole"
28.94,4.42,395.6,23.7,10,"Green","B","None"
184.73,6.17,85.7,19.2,5,"Commercial","D","CurbInlet"
120.11,6.28,48.5,42.8,10,"Roads","B","Manhole"
13.8,10.34,248.2,112.1,100,"Commercial","A","OpenChannel"
27.92,7.85,98.7,24.2,100,"Institutional","D","GratedInlet"
-1.22,8.41,75.2,23.4,2,"Industrial","A","GratedInlet"
72.95,10.76,76,61.7,10,"Roads","A","CurbInlet"
105.71,9.62,83.1,22.7,50,"Roads","A","CurbInlet"
18.16,6.17,104.5,56.7,10,"Industrial","C","GratedInlet"
71.57,6.32,121.9,28.9,5,"Residential","D","CurbInlet"
3.04,6.73,154.4,26.2,2,"Residential","A","Manhole"
52.78,6.88,64.7,50.4,5,"Roads","D","Manhole"
18.14,9.05,152.9,20,2,"Roads","C","Manhole"
81.04,2.3,175.3,26,100,"Green","D","Manhole"
31.67,6.17,18.8,91.9,10,"Industrial","D","None"
15.9,5.32,174.9,45,25,"Water","C","Manhole"
