"city_name","admin_ward","latitude","longitude","cluster","risk_level"
"Houston, USA","District 11",29.738211,-95.43419,1,"Alto"
"Cape Town, South Africa","District 5",-33.993151,18.480013,3,"Medio"
"Singapore, Singapore","Zone II",1.250584,103.964467,3,"Medio"
"Shanghai, China","Zone V",31.227445,121.422029,1,"Alto"
"Hong Kong, China","Sector 11",22.228144,114.256566,3,"Medio"
"Shanghai, China","Sector 20",31.190875,121.479518,2,"Bajo"
"Athens, Greece","Borough Harbor",37.961044,23.563666,2,"Bajo"
"Paris, France","Borough Harbor",48.893045,2.260981,3,"Medio"
"Hamburg, Germany","District 16",53.611978,10.108059,2,"Bajo"
"Riyadh, Saudi Arabia","Sector 8",24.714514,46.722161,3,"Medio"
"Doha, Qatar","Zone VIII",25.213652,51.455758,3,"Medio"
"Nairobi, Kenya","Sector 7",-1.430486,36.81412,3,"Medio"
"Bangkok, Thailand","District 24",13.831079,100.405684,3,"Medio"
"New Orleans, USA","Ward B",29.885492,-90.129196,3,"Medio"
"San Francisco, USA","District 22",37.817249,-122.539137,1,"Alto"
"Bogotá, Colombia","Sector 9",4.615015,-74.103586,2,"Bajo"
"Delhi, India","Zone VIII",28.578707,77.129648,3,"Medio"
"Athens, Greece","Ward G",38.085449,23.694449,3,"Medio"
"Barcelona, Spain","Ward G",41.397426,2.130915,2,"Bajo"
"Copenhagen, Denmark","Zone VI",55.752965,12.543794,2,"Bajo"
"San Francisco, USA","Sector 1",37.667235,-122.385164,2,"Bajo"
"London, UK","Ward K",51.538351,-0.044745,3,"Medio"
"Miami, USA","Sector 11",25.683689,-80.143126,2,"Bajo"
"New Orleans, USA","Borough Hillside",29.917917,-90.133784,3,"Medio"
"Manila, Philippines","Borough Riverside",14.626959,121.034607,3,"Medio"
"Athens, Greece","Zone VIII",37.93318,23.867411,2,"Bajo"
"Singapore, Singapore","District 30",1.381917,103.765085,2,"Bajo"
"Tokyo, Japan","Borough Riverside",35.619716,139.666566,2,"Bajo"
"New Orleans, USA","Sector 27",30.013738,-89.898774,2,"Bajo"
"Karachi, Pakistan","Borough Hillside",24.79732,66.950893,2,"Bajo"
"Jakarta, Indonesia","Borough South",-6.291373,106.866273,3,"Medio"
"Nairobi, Kenya","Borough Hillside",-1.189306,36.702201,3,"Medio"
"Nairobi, Kenya","District 5",-1.294683,36.690698,3,"Medio"
"Karachi, Pakistan","Ward H",24.873609,67.004016,2,"Bajo"
"Shenzhen, China","Borough Riverside",22.601394,114.076103,2,"Bajo"
"Jakarta, Indonesia","Borough West",-6.355887,106.72977,3,"Medio"
"Kuala Lumpur, Malaysia","Zone III",3.132832,101.668637,3,"Medio"
"London, UK","District 29",51.522421,-0.041596,1,"Alto"
"Kuala Lumpur, Malaysia","Sector 22",3.182016,101.620147,2,"Bajo"
"Miami, USA","Zone V",25.786716,-80.317555,1,"Alto"
"Miami, USA","Sector 3",25.78801,-80.325151,2,"Bajo"
"New Orleans, USA","Ward C",29.993055,-90.129588,2,"Bajo"
"Sydney, Australia","Zone II",-33.793664,151.092246,2,"Bajo"
"Seoul, South Korea","Sector 28",37.539976,127.097577,2,"Bajo"
"Hyderabad, India","Borough Hillside",17.331108,78.483171,1,"Alto"
"Rio de Janeiro, Brazil","Ward J",-22.863116,-43.254828,2,"Bajo"
"Sydney, Australia","Zone VII",-33.785876,151.266765,1,"Alto"
"Brisbane, Australia","Zone I",-27.447855,153.020973,1,"Alto"
"Taipei, Taiwan","Ward I",24.990263,121.476219,2,"Bajo"
"Lima, Peru","Zone IX",-12.042736,-77.1659,2,"Bajo"
"Rotterdam, Netherlands","District 24",51.927443,4.541447,2,"Bajo"
"Amsterdam, Netherlands","Sector 26",52.474882,4.858746,2,"Bajo"
"Ho Chi Minh City, Vietnam","Sector 16",10.84268,106.748436,1,"Alto"
"Vancouver, Canada","Borough East",49.314033,-123.119837,2,"Bajo"
"Taipei, Taiwan","District 26",24.974956,121.547199,3,"Medio"
"Accra, Ghana","District 7",5.701548,-0.269862,3,"Medio"
"Riyadh, Saudi Arabia","Borough Old Town",24.712484,46.758972,2,"Bajo"
"Lima, Peru","Borough Old Town",-12.052395,-77.084216,3,"Medio"
"Chennai, India","Sector 1",13.158386,80.376051,2,"Bajo"
"Istanbul, Türkiye","Zone V",41.106308,28.918704,3,"Medio"
"Pune, India","Ward I",18.649573,73.829042,3,"Medio"
"Brisbane, Australia","Sector 18",-27.595665,152.99241,1,"Alto"
"Auckland, New Zealand","Sector 14",-36.7016,174.72417,3,"Medio"
"Washington DC, USA","Zone I",38.879099,-77.041732,2,"Bajo"
"Vancouver, Canada","Sector 23",49.165174,-123.104249,3,"Medio"
"Dhaka, Bangladesh","Borough North",23.799724,90.459875,1,"Alto"
"New York, USA","Zone IV",40.700856,-74.01971,1,"Alto"
"Barcelona, Spain","Borough Delta",41.433134,2.159418,2,"Bajo"
"Pune, India","Zone II",18.41893,73.898579,2,"Bajo"
"London, UK","Borough East",51.450147,0.029632,1,"Alto"
"Riyadh, Saudi Arabia","District 17",24.602366,46.653616,2,"Bajo"
"Shanghai, China","Ward A",31.244103,121.425075,2,"Bajo"
"Sydney, Australia","Zone V",-33.843459,151.225685,2,"Bajo"
"Bengaluru, India","Borough Harbor",12.930679,77.660193,2,"Bajo"
"Mumbai, India","Ward G",19.040309,72.889891,2,"Bajo"
"Ahmedabad, India","District 22",22.952621,72.653047,3,"Medio"
"Washington DC, USA","District 8",38.914072,-77.02681,2,"Bajo"
"Washington DC, USA","District 23",38.817143,-76.999981,1,"Alto"
"Seoul, South Korea","District 8",37.637419,126.971739,2,"Bajo"
"Auckland, New Zealand","District 13",-36.858992,174.728861,3,"Medio"
"Hamburg, Germany","Borough Hillside",53.445347,9.975697,2,"Bajo"
"Rome, Italy","Borough South",41.805683,12.509814,1,"Alto"
"Bengaluru, India","Ward H",13.08247,77.596147,2,"Bajo"
"Lagos, Nigeria","Borough Delta",6.454282,3.340342,3,"Medio"
"Durban, South Africa","Zone VIII",-29.835599,31.112207,2,"Bajo"
"Philadelphia, USA","Sector 3",40.061779,-75.132898,2,"Bajo"
"Tehran, Iran","Borough Delta",35.805944,51.429591,2,"Bajo"
"Tokyo, Japan","Zone I",35.780564,139.724406,3,"Medio"
"Guangzhou, China","Ward B",23.253732,113.231547,1,"Alto"
"Montreal, Canada","Ward E",45.622928,-73.570061,3,"Medio"
"Mexico City, Mexico","Borough South",19.382919,-99.093299,2,"Bajo"
"Pune, India","Zone IV",18.441224,73.898098,2,"Bajo"
"Mumbai, India","Sector 14",19.181069,72.951292,2,"Bajo"
"Nairobi, Kenya","Sector 27",-1.31365,36.782376,2,"Bajo"
"Mexico City, Mexico","District 28",19.565856,-99.11757,3,"Medio"
"Montreal, Canada","District 28",45.368058,-73.484158,3,"Medio"
"Lima, Peru","Zone V",-12.039891,-77.090972,2,"Bajo"
"Durban, South Africa","Sector 10",-29.865091,30.973531,2,"Bajo"
"Pune, India","Sector 17",18.444489,73.901304,2,"Bajo"
"Montreal, Canada","Zone VII",45.398908,-73.649442,2,"Bajo"
"Pune, India","Zone I",18.595732,73.828706,2,"Bajo"
"Bengaluru, India","Ward D",13.11177,77.548232,2,"Bajo"
"Lagos, Nigeria","Borough Central",6.545532,3.527997,3,"Medio"
"Seoul, South Korea","District 17",37.544612,126.921125,3,"Medio"
"Paris, France","Ward D",48.748073,2.447986,2,"Bajo"
"Cape Town, South Africa","District 19",-33.94121,18.398241,2,"Bajo"
"Sao Paulo, Brazil","Sector 8",-23.604242,-46.749131,1,"Alto"
"Lagos, Nigeria","Borough South",6.499218,3.37778,2,"Bajo"
"Cape Town, South Africa","Sector 30",-33.975397,18.381482,3,"Medio"
"Osaka, Japan","District 8",34.781139,135.702971,1,"Alto"
"Singapore, Singapore","District 13",1.327545,103.794893,3,"Medio"
"Ahmedabad, India","Zone V",22.995238,72.572519,1,"Alto"
"Dhaka, Bangladesh","Borough Delta",23.877002,90.544941,1,"Alto"
"Doha, Qatar","Sector 20",25.278182,51.401339,2,"Bajo"
"Copenhagen, Denmark","Borough Delta",55.65663,12.541055,2,"Bajo"
"Ahmedabad, India","Ward H",23.025113,72.576207,3,"Medio"
"New York, USA","District 18",40.531515,-74.049273,2,"Bajo"
"Hanoi, Vietnam","Zone V",21.112174,105.827814,3,"Medio"
"Nairobi, Kenya","Sector 22",-1.450604,36.964612,2,"Bajo"
"Philadelphia, USA","District 18",39.998389,-75.252837,2,"Bajo"
"Nairobi, Kenya","Ward C",-1.252707,36.910278,2,"Bajo"
"Rio de Janeiro, Brazil","Sector 23",-22.92871,-43.132041,3,"Medio"
"Hanoi, Vietnam","Borough Delta",21.079761,105.862048,3,"Medio"
"Vancouver, Canada","Zone III",49.251744,-123.043218,1,"Alto"
"Tehran, Iran","Zone I",35.670953,51.498173,2,"Bajo"
"Rio de Janeiro, Brazil","Zone IX",-22.909294,-43.072448,1,"Alto"
"Rome, Italy","Zone VII",41.826744,12.727787,3,"Medio"
"Athens, Greece","Ward C",38.102407,23.666691,1,"Alto"
"New Orleans, USA","Borough West",29.97508,-90.122542,2,"Bajo"
"Durban, South Africa","Borough Hillside",-29.885025,31.146666,2,"Bajo"
"Copenhagen, Denmark","Ward G",55.655924,12.577613,3,"Medio"
"Rio de Janeiro, Brazil","Sector 13",-22.940979,-43.079946,2,"Bajo"
"Miami, USA","Ward I",25.721869,-80.299723,3,"Medio"
"Brisbane, Australia","Borough Hillside",-27.439625,153.102577,3,"Medio"
"Vancouver, Canada","Sector 21",49.156524,-123.204919,2,"Bajo"
"Singapore, Singapore","Sector 5",1.310383,103.920371,1,"Alto"
"Taipei, Taiwan","Sector 4",25.032737,121.627418,2,"Bajo"
"Rio de Janeiro, Brazil","Sector 24",-23.030736,-43.153495,1,"Alto"
"Tehran, Iran","Borough Hillside",35.466197,51.407031,2,"Bajo"
"Bogotá, Colombia","Zone V",4.65572,-74.198345,3,"Medio"
"London, UK","Sector 9",51.487492,-0.095379,3,"Medio"
"Houston, USA","District 23",29.86551,-95.374103,3,"Medio"
"London, UK","Zone V",51.392913,-0.14086,3,"Medio"
"Rotterdam, Netherlands","Zone V",51.878536,4.411624,3,"Medio"
"Pune, India","District 25",18.518432,73.960971,2,"Bajo"
"Delhi, India","Ward K",28.589648,77.197997,3,"Medio"
"Mexico City, Mexico","District 10",19.508593,-99.127515,1,"Alto"
"Houston, USA","Sector 21",29.817758,-95.350056,2,"Bajo"
"Bogotá, Colombia","District 30",4.667515,-74.123444,2,"Bajo"
"Lima, Peru","Zone I",-12.063188,-77.08842,2,"Bajo"
"Paris, France","Borough South",48.970684,2.446874,2,"Bajo"
"Ho Chi Minh City, Vietnam","District 12",10.799522,106.466662,2,"Bajo"
"Hamburg, Germany","District 9",53.501247,9.925655,2,"Bajo"
"Osaka, Japan","Borough Harbor",34.71992,135.496941,1,"Alto"
"Lagos, Nigeria","Zone VIII",6.558432,3.328856,2,"Bajo"
"Philadelphia, USA","District 13",39.899265,-75.183478,1,"Alto"
"Rotterdam, Netherlands","Sector 6",51.943671,4.492108,2,"Bajo"
"Auckland, New Zealand","Sector 2",-36.788851,174.681236,2,"Bajo"
"Bengaluru, India","Ward E",13.00686,77.641121,1,"Alto"
"New York, USA","Borough West",40.701315,-73.886377,2,"Bajo"
"Riyadh, Saudi Arabia","Borough Riverside",24.626105,46.649479,2,"Bajo"
"Delhi, India","Zone IX",28.554005,77.273017,1,"Alto"
"Ho Chi Minh City, Vietnam","Zone III",10.848181,106.647658,1,"Alto"
"Rio de Janeiro, Brazil","Borough East",-22.961825,-43.159953,2,"Bajo"
"Washington DC, USA","Ward B",38.921384,-77.040353,3,"Medio"
"Accra, Ghana","Borough South",5.531183,-0.107577,1,"Alto"
"Athens, Greece","Ward C",37.94359,23.748992,3,"Medio"
"Lima, Peru","Zone VI",-12.123372,-77.197319,2,"Bajo"
"Seoul, South Korea","Borough West",37.591017,126.890098,1,"Alto"
"Delhi, India","Ward J",28.55417,77.109228,1,"Alto"
"Seoul, South Korea","Sector 12",37.666963,126.854665,3,"Medio"
"Cape Town, South Africa","Sector 21",-33.869565,18.323569,2,"Bajo"
"Delhi, India","District 1",28.589878,77.089514,2,"Bajo"
"Colombo, Sri Lanka","Zone III",6.938703,79.797244,2,"Bajo"
"Hanoi, Vietnam","Borough Delta",20.838047,105.82584,2,"Bajo"
"Singapore, Singapore","Sector 17",1.289656,103.868752,1,"Alto"
"Amsterdam, Netherlands","District 20",52.480152,4.750103,3,"Medio"
"Copenhagen, Denmark","Zone III",55.656409,12.544991,2,"Bajo"
"Guangzhou, China","Ward E",23.190183,113.263792,1,"Alto"
"New York, USA","Sector 3",40.847709,-73.929738,1,"Alto"
"Pune, India","District 27",18.558175,73.859541,3,"Medio"
"Tehran, Iran","Ward K",35.842917,51.519429,1,"Alto"
"Ho Chi Minh City, Vietnam","Zone III",10.777637,106.782703,2,"Bajo"
"Mexico City, Mexico","Sector 10",19.395111,-99.043339,2,"Bajo"
"Kuala Lumpur, Malaysia","Ward E",3.194319,101.775924,2,"Bajo"
"Hamburg, Germany","Zone II",53.567635,10.066549,2,"Bajo"
"New Orleans, USA","District 10",30.103148,-90.102158,2,"Bajo"
"Montreal, Canada","District 5",45.421337,-73.534383,2,"Bajo"
"Paris, France","Sector 25",48.955724,2.320675,2,"Bajo"
"Mumbai, India","Borough South",19.030918,72.769868,2,"Bajo"
"Dubai, UAE","Ward I",25.276718,55.263327,2,"Bajo"
"Washington DC, USA","Zone II",38.73279,-77.120224,3,"Medio"
"Houston, USA","Sector 1",29.813646,-95.233863,2,"Bajo"
"Bengaluru, India","Borough East",13.0231,77.50874,3,"Medio"
"Manila, Philippines","Borough East",14.598787,121.021471,2,"Bajo"
"Houston, USA","Ward B",29.730219,-95.362023,3,"Medio"
"Hamburg, Germany","District 13",53.532784,9.927489,3,"Medio"
"Rotterdam, Netherlands","Ward D",51.977057,4.681578,1,"Alto"
"Copenhagen, Denmark","Ward E",55.792493,12.595107,3,"Medio"
"Lagos, Nigeria","District 23",6.581624,3.404093,2,"Bajo"
"New Orleans, USA","District 28",29.961299,-90.041153,2,"Bajo"
"Kolkata, India","Borough East",22.62473,88.397208,2,"Bajo"
"Accra, Ghana","Sector 16",5.576077,-0.221677,3,"Medio"
"Bangkok, Thailand","Sector 27",13.710087,100.537363,3,"Medio"
"Durban, South Africa","District 1",-29.972456,30.935897,2,"Bajo"
"Ho Chi Minh City, Vietnam","Ward J",10.74888,106.610324,3,"Medio"
"Hanoi, Vietnam","Borough Delta",20.984998,105.793996,3,"Medio"
"Rotterdam, Netherlands","District 30",51.896085,4.537465,1,"Alto"
"Seoul, South Korea","District 4",37.607279,126.95479,3,"Medio"
"Tehran, Iran","Sector 15",35.716023,51.31253,3,"Medio"
"Shanghai, China","Sector 17",31.298564,121.512569,2,"Bajo"
"Sydney, Australia","District 14",-33.844097,151.27071,1,"Alto"
"Athens, Greece","Sector 23",37.884557,23.855637,2,"Bajo"
"Delhi, India","Ward F",28.607356,77.074451,3,"Medio"
"Rome, Italy","Ward K",41.921145,12.589443,3,"Medio"
"Osaka, Japan","Sector 21",34.636156,135.479616,2,"Bajo"
"Shanghai, China","Borough Delta",31.157784,121.388674,2,"Bajo"
"Miami, USA","Ward G",25.7595,-80.078609,2,"Bajo"
"Tokyo, Japan","District 19",35.671601,139.694373,2,"Bajo"
"Hamburg, Germany","District 12",53.553825,9.938372,2,"Bajo"
"Philadelphia, USA","District 22",39.951422,-75.103214,3,"Medio"
"Ahmedabad, India","Sector 7",23.12503,72.414632,1,"Alto"
"Lima, Peru","Ward E",-12.038787,-77.053968,3,"Medio"
"Istanbul, Türkiye","Borough Old Town",41.033551,28.926608,1,"Alto"
"San Francisco, USA","Borough Riverside",37.705077,-122.446063,2,"Bajo"
"Rotterdam, Netherlands","District 3",52.011709,4.585678,3,"Medio"
"Mumbai, India","Ward E",19.178037,72.814167,2,"Bajo"
"New Orleans, USA","Ward H",29.873484,-90.243268,2,"Bajo"
"Bangkok, Thailand","Borough Hillside",13.709017,100.507196,2,"Bajo"
"Istanbul, Türkiye","Borough North",41.09238,28.962201,2,"Bajo"
"Athens, Greece","Sector 5",38.065388,23.760612,3,"Medio"
"Buenos Aires, Argentina","Borough South",-34.642663,-58.306603,3,"Medio"
"Manila, Philippines","Borough Harbor",14.495739,120.866239,2,"Bajo"
"Jakarta, Indonesia","Sector 6",-6.248436,106.907974,2,"Bajo"
"Copenhagen, Denmark","District 30",55.679103,12.655321,3,"Medio"
"Tehran, Iran","Sector 25",35.719516,51.360785,2,"Bajo"
"Dubai, UAE","Sector 17",25.332858,55.278027,3,"Medio"
"Lagos, Nigeria","Sector 30",6.445914,3.253808,3,"Medio"
"Athens, Greece","Sector 2",37.923941,23.682558,2,"Bajo"
"Jakarta, Indonesia","Ward B",-6.404861,106.854658,2,"Bajo"
"Amsterdam, Netherlands","Sector 29",52.317719,4.912471,1,"Alto"
"Tehran, Iran","Ward F",35.658394,51.419027,2,"Bajo"
"Durban, South Africa","Sector 15",-29.789305,31.111326,2,"Bajo"
"Bengaluru, India","District 27",12.985047,77.685976,3,"Medio"
"Houston, USA","Sector 1",29.648231,-95.358413,2,"Bajo"
"Seoul, South Korea","Zone VI",37.552345,126.837409,2,"Bajo"
"Kuala Lumpur, Malaysia","Ward H",3.098342,101.677339,3,"Medio"
"Paris, France","Ward C",48.71189,2.261193,2,"Bajo"
"Kolkata, India","Borough Old Town",22.756379,88.4107,2,"Bajo"
"Washington DC, USA","District 26",38.794122,-77.13992,2,"Bajo"
"Washington DC, USA","Borough East",38.851024,-76.867765,1,"Alto"
"Athens, Greece","District 19",37.92124,23.714814,2,"Bajo"
"Barcelona, Spain","District 8",41.535835,2.001861,1,"Alto"
"Pune, India","District 26",18.404767,73.873499,3,"Medio"
"London, UK","Borough Delta",51.51482,-0.008762,1,"Alto"
"Paris, France","Ward A",48.735647,2.343678,1,"Alto"
"Pune, India","Sector 20",18.472422,73.820579,2,"Bajo"
"Paris, France","Zone X",48.945425,2.275365,1,"Alto"
"Houston, USA","Borough East",29.848178,-95.535065,2,"Bajo"
"Vancouver, Canada","Ward I",49.311273,-123.105547,1,"Alto"
"Dhaka, Bangladesh","Borough Central",23.810092,90.526597,3,"Medio"
"Guangzhou, China","Zone I",23.045571,113.279189,2,"Bajo"
"Jakarta, Indonesia","District 24",-6.22689,106.836414,2,"Bajo"
"Rotterdam, Netherlands","District 15",51.853171,4.515253,3,"Medio"
"Manila, Philippines","Ward J",14.500306,120.995506,3,"Medio"
"Brisbane, Australia","Ward D",-27.497276,153.009722,2,"Bajo"
"Miami, USA","Zone V",25.872394,-80.174937,3,"Medio"
"Karachi, Pakistan","Sector 5",24.831962,66.940097,1,"Alto"
"Guangzhou, China","Zone X",23.102673,113.162414,2,"Bajo"
"Rio de Janeiro, Brazil","Ward B",-22.878018,-43.182914,1,"Alto"
"Athens, Greece","Sector 5",37.904855,23.685208,1,"Alto"
"Hamburg, Germany","Ward J",53.563724,10.089944,2,"Bajo"
"Jakarta, Indonesia","Borough Old Town",-6.292859,106.945094,2,"Bajo"
"Seoul, South Korea","District 27",37.498516,127.011277,1,"Alto"
"New York, USA","Sector 24",40.634051,-73.796026,3,"Medio"
"New Orleans, USA","Sector 23",29.986081,-90.168808,2,"Bajo"
"Hong Kong, China","Zone VI",22.30233,114.098595,2,"Bajo"
"Sydney, Australia","Sector 27",-33.812391,151.156029,3,"Medio"
"Colombo, Sri Lanka","Sector 1",6.909988,79.968872,2,"Bajo"
"Ho Chi Minh City, Vietnam","District 21",10.905315,106.654806,1,"Alto"
"Doha, Qatar","District 6",25.300189,51.603857,2,"Bajo"
"Kolkata, India","Borough Delta",22.546397,88.292267,2,"Bajo"
"San Francisco, USA","Sector 6",37.707344,-122.367771,1,"Alto"
"Sao Paulo, Brazil","Borough North",-23.575784,-46.641491,1,"Alto"
"Montreal, Canada","District 21",45.61194,-73.676987,2,"Bajo"
"Delhi, India","Zone V",28.610276,77.177269,2,"Bajo"
"Copenhagen, Denmark","District 18",55.714089,12.652726,2,"Bajo"
"Paris, France","Ward H",48.84732,2.297795,2,"Bajo"
"Delhi, India","Zone III",28.606539,77.216364,3,"Medio"
"Lima, Peru","Borough West",-12.013189,-77.130811,3,"Medio"
"Riyadh, Saudi Arabia","Ward G",24.719017,46.682121,3,"Medio"
"Miami, USA","District 27",25.537524,-80.128377,2,"Bajo"
"Kolkata, India","District 16",22.520157,88.397401,2,"Bajo"
"Ahmedabad, India","Borough Delta",22.985887,72.557328,3,"Medio"
"Bogotá, Colombia","District 28",4.629459,-74.171628,3,"Medio"
"Ho Chi Minh City, Vietnam","District 4",10.798115,106.624649,3,"Medio"
"London, UK","District 20",51.585334,-0.186248,2,"Bajo"
"Sao Paulo, Brazil","Borough Delta",-23.490872,-46.688,1,"Alto"
"Brisbane, Australia","Ward D",-27.594232,153.051539,2,"Bajo"
"Delhi, India","Zone VII",28.474057,77.275373,2,"Bajo"
"Washington DC, USA","Borough Central",38.852504,-77.125967,2,"Bajo"
"Brisbane, Australia","Zone I",-27.579448,153.024699,3,"Medio"
"Jakarta, Indonesia","Ward I",-6.152623,106.814964,2,"Bajo"
"Istanbul, Türkiye","Sector 4",40.937471,28.979683,2,"Bajo"
"Copenhagen, Denmark","Ward H",55.764115,12.677596,1,"Alto"
"Manila, Philippines","Sector 29",14.580626,120.972563,2,"Bajo"
"Tehran, Iran","Borough East",35.732164,51.308007,1,"Alto"
"Montreal, Canada","Sector 25",45.561721,-73.576497,3,"Medio"
"Manila, Philippines","Sector 13",14.596204,120.999189,1,"Alto"
"Colombo, Sri Lanka","District 1",6.896563,79.930291,2,"Bajo"
"Delhi, India","District 20",28.61063,77.220405,3,"Medio"
"Sydney, Australia","Zone V",-33.763674,151.221566,2,"Bajo"
"San Francisco, USA","District 30",37.766779,-122.444108,3,"Medio"
"Hong Kong, China","Borough North",22.317463,114.093507,3,"Medio"
"Hong Kong, China","Zone VI",22.240192,114.176122,1,"Alto"
"Washington DC, USA","Zone VII",38.759045,-76.97608,3,"Medio"
"Jakarta, Indonesia","Ward D",-6.324934,106.859177,1,"Alto"
"Hanoi, Vietnam","Borough Central",21.035559,105.920071,2,"Bajo"
"Cape Town, South Africa","Zone IV",-33.865647,18.430122,1,"Alto"
"Osaka, Japan","Borough East",34.721611,135.558988,2,"Bajo"
"San Francisco, USA","Sector 22",37.795409,-122.388788,2,"Bajo"
"Singapore, Singapore","Zone VI",1.315637,103.746955,2,"Bajo"
"Copenhagen, Denmark","Ward D",55.713355,12.645131,1,"Alto"
"Hyderabad, India","District 22",17.430776,78.427127,2,"Bajo"
"Tehran, Iran","District 7",35.804241,51.460545,2,"Bajo"
"Barcelona, Spain","Borough Hillside",41.278274,2.172359,2,"Bajo"
"Auckland, New Zealand","Borough North",-36.754422,174.786971,3,"Medio"
"Philadelphia, USA","Borough Riverside",39.912384,-75.199868,3,"Medio"
"Auckland, New Zealand","Sector 29",-36.906351,174.781978,2,"Bajo"
"Shanghai, China","Ward D",31.204901,121.37452,2,"Bajo"
"New York, USA","Borough West",40.681317,-73.940127,1,"Alto"
"Guangzhou, China","District 13",23.194476,113.323728,2,"Bajo"
